Date,Wsp_44m,Wsp_44m_std,ActPow,ActPow_std
2018-07-18 01:00:00,2.85449,0.366027,0.0,0.0
2018-07-18 01:10:00,2.62759,0.286582,0.0,0.0
2018-07-18 01:20:00,2.71454,0.375792,0.0,0.0
2018-07-18 01:30:00,2.04046,0.394559,0.0,0.0
2018-07-18 01:40:00,1.77659,0.292115,0.0,0.0
2018-07-18 01:50:00,1.62297999999999,0.175565,0.0,0.0
2018-07-18 02:00:00,1.8293,0.184654999999999,0.0,0.0
2018-07-18 02:10:00,2.14595,0.188442,0.0,0.0
2018-07-18 02:20:00,2.20646,0.255731,0.0,0.0
2018-07-18 02:30:00,1.8055,0.183774,0.0,0.0
2018-07-18 02:40:00,2.25752,0.291727,0.0,0.0
2018-07-18 02:50:00,2.45316,0.33411,0.0,0.0
2018-07-18 03:00:00,2.09827,0.209932999999999,0.0,0.0
2018-07-18 03:10:00,2.95337,0.343812,0.0,0.0
2018-07-18 03:20:00,3.60614,0.219282,0.0,0.0
2018-07-18 03:30:00,4.0309,0.369005,0.0,0.0
2018-07-18 03:40:00,5.31264,0.352751,0.0,0.0
2018-07-18 03:50:00,4.48082,0.306002,0.0,0.0
2018-07-18 04:00:00,3.90509,0.450793,0.0,0.0
2018-07-18 04:10:00,2.70525,0.379114,0.0,0.0
2018-07-18 04:20:00,2.15197,0.492851,0.0,0.0
2018-07-18 04:30:00,3.25054,0.444476,0.0,0.0
2018-07-18 04:40:00,3.14204,0.434943999999999,0.0,0.0
2018-07-18 04:50:00,2.67539,0.420984,0.0,0.0
2018-07-18 05:00:00,2.33622,0.590677999999999,0.0,0.0
2018-07-18 05:10:00,1.67015999999999,0.283896999999999,0.0,0.0
2018-07-18 05:20:00,2.66851,0.277994,0.0,0.0
2018-07-18 05:30:00,3.021,0.27405,0.0,0.0
2018-07-18 05:40:00,3.27899,0.262082,0.0,0.0
2018-07-18 05:50:00,3.7685,0.304379,0.0,0.0
2018-07-18 06:00:00,4.31830999999999,0.264996,0.0,0.0
2018-07-18 06:10:00,4.45825,0.214312,0.0,0.0
2018-07-18 06:20:00,5.82074,0.431537,0.0,0.0
2018-07-18 06:30:00,6.70646,0.205433,0.0,0.0
2018-07-18 06:40:00,7.05008999999999,0.238619,0.0,0.0
2018-07-18 06:50:00,6.61635,0.328043,0.0,0.0
2018-07-18 07:00:00,5.65523,0.422789,0.0,0.0
2018-07-18 07:10:00,4.77551999999999,0.380079,0.0,0.0
2018-07-18 07:20:00,4.02214,0.281669,0.0,0.0
2018-07-18 07:30:00,3.61721999999999,0.383714,0.0,0.0
2018-07-18 07:40:00,3.73995,0.251379,0.0,0.0
2018-07-18 07:50:00,4.42453,0.329843,0.0,0.0
2018-07-18 08:00:00,4.82698,0.315877,0.0,0.0
2018-07-18 08:10:00,4.62529,0.563566,0.0,0.0
2018-07-18 08:20:00,5.34873,0.558282,0.0,0.0
2018-07-18 08:30:00,5.41123,0.423212,0.0,0.0
2018-07-18 08:40:00,5.67924,0.361597,0.0,0.0
2018-07-18 08:50:00,5.90499,0.406219,0.0,0.0
2018-07-18 09:00:00,5.69696,0.42486,0.0,0.0
2018-07-18 09:10:00,5.37824,0.350557,0.0,0.0
