Date,Wsp_44m,Wsp_44m_std,ActPow,ActPow_std
2018-11-27 18:50:00,3.70978,0.378058,9.98641,21.8769
2018-11-27 19:00:00,3.70978,0.378058,9.98641,21.8769
2018-11-27 19:10:00,3.70978,0.378058,9.98641,21.8769
2018-11-27 19:20:00,3.70978,0.378058,9.98641,21.8769
2018-11-27 19:30:00,3.70978,0.378058,9.98641,21.8769
2018-11-27 19:40:00,3.70978,0.378058,9.98641,21.8769
2018-11-27 19:50:00,3.70978,0.378058,9.98641,21.8769
2018-11-27 20:00:00,2.13085999999999,0.368069,69.7703,12.8425
2018-11-27 20:10:00,3.15626,0.648973999999999,88.2604,3.64607
2018-11-27 20:20:00,3.48403,0.48921,103.58,8.1515
2018-11-27 20:30:00,3.60413,0.447723,103.395,4.72845
2018-11-27 20:40:00,3.353,0.407711,80.262,7.77653
2018-11-27 20:50:00,3.4377,0.438227999999999,78.058,6.75075
2018-11-27 21:00:00,3.08539,0.283536,65.0561,6.65678999999999
2018-11-27 21:10:00,3.00641,0.574633,74.6956,8.67728
2018-11-27 21:20:00,3.30376999999999,0.378432,72.3928,5.11814
2018-11-27 21:30:00,3.42444,0.268648,61.2807,6.79076
2018-11-27 21:40:00,3.50003,0.494044,64.6874,5.70429
2018-11-27 21:50:00,2.89482,0.323382,65.5409,7.7688
2018-11-27 22:00:00,2.59899999999999,0.452618,75.9414,4.00785
2018-11-27 22:10:00,2.29792,0.325051,77.9319,4.14047
2018-11-27 22:20:00,2.44584,0.238458,64.3213,5.99964
2018-11-27 22:30:00,2.77404,0.256663,68.5373,7.19858999999999
2018-11-27 22:40:00,3.12040999999999,0.776678,67.3732,3.69648
2018-11-27 22:50:00,5.51073,0.734988,95.8786,17.9016
2018-11-27 23:00:00,6.3985,0.18656,120.2,17.0401
2018-11-27 23:10:00,6.23255,0.202053,107.445,11.8019
2018-11-27 23:20:00,6.59218999999999,0.232933,118.771,21.2362
2018-11-27 23:30:00,6.16156,0.857638999999999,118.67,17.546
2018-11-27 23:40:00,5.09138,0.594585,79.7129,18.3593
2018-11-27 23:50:00,4.73374,1.29046,81.4174,21.4363
2018-11-28 00:00:00,6.20116,0.346851,111.386,17.9985
2018-11-28 00:10:00,6.00408,0.844413,133.674,20.2922
2018-11-28 00:20:00,4.12955,0.949438999999999,122.412,18.5828
2018-11-28 00:30:00,2.8134,0.544383,155.263,21.054
2018-11-28 00:40:00,3.04713,0.781119,142.554,20.8325
2018-11-28 00:50:00,5.82875,0.678362,116.46,23.4369999999999
2018-11-28 01:00:00,4.99587,0.8329,77.9271,20.6897
2018-11-28 01:10:00,3.23424,0.793454,72.0623,25.9524
2018-11-28 01:20:00,4.58106,0.857645,91.5237,16.3335
2018-11-28 01:30:00,4.33049,0.80075,109.04,21.0611
2018-11-28 01:40:00,3.83806999999999,0.843519,127.219,24.6036
2018-11-28 01:50:00,3.65668,0.833382,142.236,20.4321
2018-11-28 02:00:00,5.50985,1.32999,175.432,17.7665
2018-11-28 02:10:00,3.98506,1.65147999999999,165.835,27.1202
2018-11-28 02:20:00,2.86447,0.909342,149.368,22.6418
2018-11-28 02:30:00,3.04258,0.949696999999999,131.955,24.3432
2018-11-28 02:40:00,3.16351,1.05382,131.804,19.9795
2018-11-28 02:50:00,3.08374,0.841844,134.696,23.413
2018-11-28 03:00:00,5.21198,0.924754,141.814,16.4823
2018-11-28 03:10:00,4.91932,1.23099999999999,123.19,24.328
2018-11-28 03:20:00,5.94245,0.699168,120.702999999999,16.8544
2018-11-28 03:30:00,5.85335999999999,0.508232,107.775,18.688
2018-11-28 03:40:00,5.84518,0.378823,101.238999999999,14.849
2018-11-28 03:50:00,4.21395,1.32986,85.41,17.2754
2018-11-28 04:00:00,2.14497,0.603696,66.1769,15.9481
2018-11-28 04:10:00,2.54201,0.564369,97.9872,24.8327
2018-11-28 04:20:00,2.94328,0.545427,146.36,21.0555
2018-11-28 04:30:00,3.10203,0.764591,150.819,26.7239
2018-11-28 04:40:00,3.50872,0.750715999999999,194.349,24.7328
2018-11-28 04:50:00,2.86047,0.594364,170.696,22.7631
